R,GS,1 3_,2 3_,3 3_,4 3_,1_2,1_3,2_3,3_4
9.398999583,-1.799346586,-1.745708683,21867.89682,21864.6247,32063.24546,0,0,1.07E-38,0
9.404668612,-1.792848629,-1.739404428,21867.896,21864.6357,32063.27375,0,0,9.18E-39,0
9.410337641,-1.786378033,-1.733126719,21867.89519,21864.64665,32063.30192,0,0,7.84E-39,0
9.416006669,-1.779934666,-1.726875426,21867.89438,21864.65755,32063.32998,0,0,6.69E-39,0
9.421675698,-1.773518397,-1.720650424,21867.89357,21864.66841,32063.35791,0,0,5.71E-39,0
9.427344727,-1.767129096,-1.714451586,21867.89276,21864.67923,32063.38573,0,0,4.88E-39,0
9.433013756,-1.760766633,-1.708278786,21867.89196,21864.68999,32063.41344,0,0,4.16E-39,0
9.438682784,-1.75443088,-1.702131899,21867.89116,21864.70072,32063.44102,0,0,3.55E-39,0
9.444351813,-1.748121709,-1.696010802,21867.89037,21864.71139,32063.46849,0,0,3.03E-39,0
9.450020842,-1.741838992,-1.68991537,21867.88957,21864.72203,32063.49585,0,0,2.59E-39,0
9.455689871,-1.735582602,-1.683845482,21867.88878,21864.73262,32063.52309,0,0,2.21E-39,0
9.4613589,-1.729352414,-1.677801013,21867.888,21864.74316,32063.55022,0,0,1.88E-39,0
9.467027928,-1.723148302,-1.671781844,21867.88722,21864.75366,32063.57723,0,0,1.61E-39,0
9.472696957,-1.716970141,-1.665787852,21867.88644,21864.76412,32063.60413,0,0,1.37E-39,0
9.478365986,-1.710817808,-1.659818918,21867.88566,21864.77453,32063.63092,0,0,1.17E-39,0
9.484035015,-1.704691179,-1.653874922,21867.88489,21864.7849,32063.6576,0,0,9.95E-40,0
9.489704043,-1.698590132,-1.647955745,21867.88412,21864.79522,32063.68416,0,0,8.48E-40,0
9.495373072,-1.692514545,-1.642061268,21867.88336,21864.80551,32063.71061,0,0,7.23E-40,0
9.501042101,-1.686464295,-1.636191375,21867.88259,21864.81575,32063.73696,0,0,6.16E-40,0
9.50671113,-1.680439263,-1.630345947,21867.88183,21864.82594,32063.76319,0,0,5.25E-40,0
9.512380158,-1.674439329,-1.624524868,21867.88108,21864.8361,32063.78931,0,0,4.47E-40,0
9.518049187,-1.668464372,-1.618728023,21867.88032,21864.84621,32063.81533,0,0,3.81E-40,0
9.523718216,-1.662514275,-1.612955297,21867.87957,21864.85628,32063.84124,0,0,3.24E-40,0
9.529387245,-1.656588919,-1.607206574,21867.87883,21864.86631,32063.86704,0,0,2.76E-40,0
9.535056273,-1.650688187,-1.60148174,21867.87808,21864.8763,32063.89273,0,0,2.35E-40,0
9.540725302,-1.644811961,-1.595780683,21867.87734,21864.88624,32063.91832,0,0,2.00E-40,0
9.546394331,-1.638960126,-1.590103289,21867.8766,21864.89614,32063.9438,0,0,1.70E-40,0
9.55206336,-1.633132566,-1.584449446,21867.87587,21864.90601,32063.96917,0,0,1.45E-40,0
9.557732388,-1.627329166,-1.578819043,21867.87514,21864.91583,32063.99444,0,0,1.23E-40,0
9.563401417,-1.621549811,-1.573211969,21867.87441,21864.92561,32064.0196,0,0,1.05E-40,0
9.569070446,-1.615794388,-1.567628113,21867.87368,21864.93535,32064.04466,0,0,8.94E-41,0
9.574739475,-1.610062783,-1.562067366,21867.87296,21864.94505,32064.06962,0,0,7.61E-41,0
9.580408504,-1.604354885,-1.556529617,21867.87224,21864.95471,32064.09447,0,0,6.47E-41,0
9.586077532,-1.59867058,-1.55101476,21867.87153,21864.96433,32064.11922,0,0,5.50E-41,0
9.591746561,-1.593009757,-1.545522685,21867.87081,21864.97391,32064.14387,0,0,4.68E-41,0
9.59741559,-1.587372307,-1.540053284,21867.8701,21864.98345,32064.16841,0,0,3.98E-41,0
9.603084619,-1.581758118,-1.534606452,21867.86939,21864.99296,32064.19286,0,0,3.38E-41,0
9.608753647,-1.57616708,-1.529182082,21867.86869,21865.00242,32064.2172,0,0,2.88E-41,0
9.614422676,-1.570599086,-1.523780067,21867.86799,21865.01184,32064.24145,0,0,2.44E-41,0
9.620091705,-1.565054026,-1.518400304,21867.86729,21865.02123,32064.26559,0,0,2.08E-41,0
9.625760734,-1.559531792,-1.513042686,21867.86659,21865.03057,32064.28963,0,0,1.76E-41,0
9.631429762,-1.554032278,-1.50770711,21867.8659,21865.03988,32064.31358,0,0,1.50E-41,0
9.637098791,-1.548555376,-1.502393473,21867.86521,21865.04915,32064.33743,0,0,1.27E-41,0
9.64276782,-1.54310098,-1.49710167,21867.86452,21865.05838,32064.36118,0,0,1.08E-41,0
9.648436849,-1.537668984,-1.491831601,21867.86384,21865.06757,32064.38483,0,0,9.19E-42,0
9.654105877,-1.532259284,-1.486583162,21867.86315,21865.07673,32064.40838,0,0,7.80E-42,0
9.659774906,-1.526871775,-1.481356253,21867.86247,21865.08585,32064.43184,0,0,6.62E-42,0
9.665443935,-1.521506353,-1.476150772,21867.8618,21865.09493,32064.4552,0,0,5.62E-42,0
9.671112964,-1.516162915,-1.47096662,21867.86113,21865.10397,32064.47847,0,0,4.77E-42,0
9.676781992,-1.510841357,-1.465803696,21867.86045,21865.11298,32064.50164,0,0,4.05E-42,0
9.682451021,-1.505541577,-1.460661901,21867.85979,21865.12195,32064.52471,0,0,3.44E-42,0
9.68812005,-1.500263474,-1.455541136,21867.85912,21865.13088,32064.54769,0,0,2.92E-42,0
9.693789079,-1.495006946,-1.450441304,21867.85846,21865.13978,32064.57058,0,0,2.47E-42,0
9.699458108,-1.489771893,-1.445362306,21867.8578,21865.14864,32064.59338,0,0,2.10E-42,0
9.705127136,-1.484558214,-1.440304045,21867.85714,21865.15746,32064.61608,0,0,1.78E-42,0
9.710796165,-1.47936581,-1.435266424,21867.85649,21865.16625,32064.63869,0,0,1.51E-42,0
9.716465194,-1.474194581,-1.430249348,21867.85583,21865.175,32064.6612,0,0,1.28E-42,0
9.722134223,-1.469044429,-1.42525272,21867.85519,21865.18372,32064.68363,0,0,1.09E-42,0
9.727803251,-1.463915256,-1.420276446,21867.85454,21865.1924,32064.70596,0,0,9.20E-43,0
9.73347228,-1.458806964,-1.41532043,21867.85389,21865.20104,32064.7282,0,0,7.80E-43,0
9.739141309,-1.453719456,-1.410384579,21867.85325,21865.20965,32064.75035,0,0,6.61E-43,0
9.744810338,-1.448652635,-1.405468799,21867.85261,21865.21823,32064.77241,0,0,5.60E-43,0
9.750479366,-1.443606406,-1.400572996,21867.85198,21865.22677,32064.79439,0,0,4.75E-43,0
9.756148395,-1.438580673,-1.395697078,21867.85135,21865.23528,32064.81627,0,0,4.02E-43,0
9.761817424,-1.43357534,-1.390840952,21867.85071,21865.24375,32064.83806,0,0,3.41E-43,0
9.767486453,-1.428590313,-1.386004527,21867.85009,21865.25218,32064.85977,0,0,2.88E-43,0
9.773155481,-1.423625498,-1.381187712,21867.84946,21865.26059,32064.88138,0,0,2.44E-43,0
9.77882451,-1.418680802,-1.376390416,21867.84884,21865.26896,32064.90291,0,0,2.07E-43,0
9.784493539,-1.413756131,-1.371612547,21867.84822,21865.27729,32064.92436,0,0,1.75E-43,0
9.790162568,-1.408851393,-1.366854018,21867.8476,21865.28559,32064.94571,0,0,1.48E-43,0
9.795831596,-1.403966495,-1.362114737,21867.84698,21865.29386,32064.96698,0,0,1.25E-43,0
9.801500625,-1.399101346,-1.357394616,21867.84637,21865.30209,32064.98817,0,0,1.06E-43,0
9.807169654,-1.394255855,-1.352693568,21867.84576,21865.31029,32065.00926,0,0,8.98E-44,0
9.812838683,-1.389429931,-1.348011502,21867.84515,21865.31846,32065.03028,0,0,7.60E-44,0
9.818507712,-1.384623483,-1.343348333,21867.84454,21865.3266,32065.0512,0,0,6.43E-44,0
9.82417674,-1.379836422,-1.338703973,21867.84394,21865.3347,32065.07205,0,0,5.44E-44,0
9.829845769,-1.375068659,-1.334078335,21867.84334,21865.34277,32065.09281,0,0,4.60E-44,0
9.835514798,-1.370320104,-1.329471333,21867.84274,21865.3508,32065.11348,0,0,3.89E-44,0
9.841183827,-1.36559067,-1.324882882,21867.84214,21865.35881,32065.13407,0,0,3.29E-44,0
9.846852855,-1.360880268,-1.320312896,21867.84155,21865.36678,32065.15458,0,0,2.78E-44,0
9.852521884,-1.356188811,-1.31576129,21867.84096,21865.37472,32065.17501,0,0,2.35E-44,0
9.858190913,-1.351516212,-1.311227979,21867.84037,21865.38263,32065.19536,0,0,1.99E-44,0
9.863859942,-1.346862385,-1.30671288,21867.83978,21865.39051,32065.21562,0,0,1.68E-44,0
9.86952897,-1.342227242,-1.30221591,21867.8392,21865.39835,32065.2358,0,0,1.42E-44,0
9.875197999,-1.337610699,-1.297736984,21867.83862,21865.40616,32065.2559,0,0,1.20E-44,0
9.880867028,-1.33301267,-1.293276021,21867.83804,21865.41394,32065.27592,0,0,1.01E-44,0
9.886536057,-1.328433071,-1.288832938,21867.83746,21865.4217,32065.29586,0,0,8.54E-45,0
9.892205085,-1.323871816,-1.284407653,21867.83689,21865.42942,32065.31572,0,0,7.22E-45,0
9.897874114,-1.319328823,-1.280000085,21867.83631,21865.4371,32065.3355,0,0,6.09E-45,0
9.903543143,-1.314804008,-1.275610152,21867.83574,21865.44476,32065.3552,0,0,5.14E-45,0
9.909212172,-1.310297286,-1.271237775,21867.83517,21865.45239,32065.37483,0,0,4.34E-45,0
9.914881201,-1.305808577,-1.266882873,21867.83461,21865.45999,32065.39437,0,0,3.66E-45,0
9.920550229,-1.301337798,-1.262545365,21867.83404,21865.46755,32065.41384,0,0,3.09E-45,0
9.926219258,-1.296884866,-1.258225174,21867.83348,21865.47509,32065.43323,0,0,2.61E-45,0
9.931888287,-1.292449701,-1.25392222,21867.83292,21865.4826,32065.45254,0,0,2.20E-45,0
9.937557316,-1.288032221,-1.249636423,21867.83237,21865.49007,32065.47177,0,0,1.86E-45,0
9.943226344,-1.283632346,-1.245367707,21867.83181,21865.49752,32065.49093,0,0,1.57E-45,0
9.948895373,-1.279249996,-1.241115994,21867.83126,21865.50494,32065.51001,0,0,1.32E-45,0
9.954564402,-1.274885091,-1.236881205,21867.83071,21865.51232,32065.52902,0,0,1.11E-45,0
9.960233431,-1.270537552,-1.232663265,21867.83016,21865.51968,32065.54795,0,0,9.40E-46,0
9.965902459,-1.2662073,-1.228462096,21867.82962,21865.52701,32065.5668,0,0,7.92E-46,0
9.971571488,-1.261894256,-1.224277622,21867.82907,21865.53431,32065.58558,0,0,6.68E-46,0
9.977240517,-1.257598342,-1.220109768,21867.82853,21865.54158,32065.60428,0,0,5.63E-46,0
9.982909546,-1.253319481,-1.215958458,21867.82799,21865.54882,32065.62291,0,0,4.74E-46,0
9.988578574,-1.249057595,-1.211823617,21867.82745,21865.55603,32065.64147,0,0,4.00E-46,0
9.994247603,-1.244812607,-1.207705171,21867.82692,21865.56322,32065.65995,0,0,3.37E-46,0
9.999916632,-1.240584441,-1.203603046,21867.82639,21865.57037,32065.67836,0,0,2.84E-46,0
10.00558566,-1.236373021,-1.199517166,21867.82586,21865.5775,32065.6967,0,0,2.39E-46,0
10.01125469,-1.23217827,-1.19544746,21867.82533,21865.5846,32065.71497,0,0,2.01E-46,0
10.01692372,-1.228000114,-1.191393853,21867.8248,21865.59167,32065.73316,0,0,1.69E-46,0
10.02259275,-1.223838478,-1.187356274,21867.82428,21865.59872,32065.75128,0,0,1.43E-46,0
10.02826178,-1.219693286,-1.183334649,21867.82375,21865.60573,32065.76933,0,0,1.20E-46,0
10.0339308,-1.215564465,-1.179328907,21867.82323,21865.61272,32065.7873,0,0,1.01E-46,0
10.03959983,-1.211451941,-1.175338975,21867.82271,21865.61968,32065.80521,0,0,8.51E-47,0
10.04526886,-1.20735564,-1.171364784,21867.8222,21865.62661,32065.82305,0,0,7.16E-47,0
10.05093789,-1.20327549,-1.167406261,21867.82168,21865.63352,32065.84081,0,0,6.02E-47,0
10.05660692,-1.199211417,-1.163463337,21867.82117,21865.6404,32065.85851,0,0,5.07E-47,0
10.06227595,-1.195163349,-1.159535941,21867.82066,21865.64725,32065.87613,0,0,4.26E-47,0
10.06794498,-1.191131215,-1.155624003,21867.82015,21865.65407,32065.89369,0,0,3.58E-47,0
10.07361401,-1.187114942,-1.151727454,21867.81965,21865.66087,32065.91118,0,0,3.01E-47,0
10.07928303,-1.183114459,-1.147846224,21867.81914,21865.66764,32065.9286,0,0,2.53E-47,0
10.08495206,-1.179129695,-1.143980245,21867.81864,21865.67438,32065.94595,0,0,2.13E-47,0
10.09062109,-1.175160581,-1.140129448,21867.81814,21865.6811,32065.96323,0,0,1.79E-47,0
10.09629012,-1.171207045,-1.136293766,21867.81764,21865.68779,32065.98044,0,0,1.51E-47,0
10.10195915,-1.167269018,-1.13247313,21867.81714,21865.69446,32065.99759,0,0,1.27E-47,0
10.10762818,-1.16334643,-1.128667473,21867.81665,21865.7011,32066.01467,0,0,1.06E-47,0
10.11329721,-1.159439212,-1.124876728,21867.81616,21865.70771,32066.03168,0,0,8.93E-48,0
10.11896624,-1.155547295,-1.121100828,21867.81567,21865.7143,32066.04863,0,0,7.50E-48,0
10.12463526,-1.151670612,-1.117339707,21867.81518,21865.72086,32066.0655,0,0,6.30E-48,0
10.13030429,-1.147809093,-1.113593299,21867.81469,21865.72739,32066.08232,0,0,5.29E-48,0
10.13597332,-1.143962672,-1.109861538,21867.81421,21865.7339,32066.09907,0,0,4.45E-48,0
10.14164235,-1.14013128,-1.106144358,21867.81372,21865.74039,32066.11575,0,0,3.73E-48,0
10.14731138,-1.13631485,-1.102441695,21867.81324,21865.74685,32066.13237,0,0,3.13E-48,0
10.15298041,-1.132513316,-1.098753484,21867.81276,21865.75328,32066.14892,0,0,2.63E-48,0
10.15864944,-1.128726612,-1.09507966,21867.81229,21865.75969,32066.16541,0,0,2.21E-48,0
10.16431847,-1.124954671,-1.091420159,21867.81181,21865.76607,32066.18183,0,0,1.85E-48,0
10.16998749,-1.121197428,-1.087774918,21867.81134,21865.77243,32066.19819,0,0,1.55E-48,0
10.17565652,-1.117454817,-1.084143873,21867.81086,21865.77877,32066.21448,0,0,1.30E-48,0
10.18132555,-1.113726773,-1.080526961,21867.81039,21865.78508,32066.23072,0,0,1.09E-48,0
10.18699458,-1.110013231,-1.076924118,21867.80993,21865.79136,32066.24689,0,0,9.18E-49,0
10.19266361,-1.106314127,-1.073335283,21867.80946,21865.79762,32066.26299,0,0,7.70E-49,0
10.19833264,-1.102629397,-1.069760394,21867.809,21865.80386,32066.27904,0,0,6.45E-49,0
10.20400167,-1.098958977,-1.066199388,21867.80853,21865.81007,32066.29502,0,0,5.41E-49,0
10.2096707,-1.095302803,-1.062652203,21867.80807,21865.81626,32066.31094,0,0,4.54E-49,0
10.21533972,-1.091660813,-1.059118779,21867.80761,21865.82242,32066.32679,0,0,3.80E-49,0
10.22100875,-1.088032943,-1.055599055,21867.80716,21865.82856,32066.34259,0,0,3.19E-49,0
10.22667778,-1.084419131,-1.05209297,21867.8067,21865.83468,32066.35832,0,0,2.67E-49,0
10.23234681,-1.080819315,-1.048600463,21867.80625,21865.84077,32066.374,0,0,2.24E-49,0
10.23801584,-1.077233432,-1.045121474,21867.80579,21865.84684,32066.38961,0,0,1.87E-49,0
10.24368487,-1.073661422,-1.041655944,21867.80534,21865.85288,32066.40517,0,0,1.57E-49,0
10.2493539,-1.070103223,-1.038203814,21867.8049,21865.85891,32066.42066,0,0,1.31E-49,0
10.25502293,-1.066558773,-1.034765023,21867.80445,21865.8649,32066.43609,0,0,1.10E-49,0
10.26069195,-1.063028013,-1.031339514,21867.804,21865.87088,32066.45146,0,0,9.22E-50,0
10.26636098,-1.059510882,-1.027927227,21867.80356,21865.87683,32066.46678,0,0,7.72E-50,0
